"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP00001",409.790373850383,409.789642333984,409.791015625,2.00548529624939,0.336072236299515,8.18634414672852,169554.858657385,169547.502074965,55514.44140625,55513,1,0
"CP00002",481.792323408291,481.792175292969,481.792388916016,2.00548529624939,0.336072236299515,8.18634414672852,269441.791466285,269434.434883865,104437.109375,104436,1,0
"CP00004",510.831104553178,510.830993652344,510.831237792969,2.6018590927124,0.336072236299515,9.86090755462646,343112.022947282,343102.415245507,53759.48046875,53758,1,0
"CP00005",622.706555245461,622.706481933594,622.706604003906,2.00548529624939,0.336072236299515,10.4192161560059,684886.874086338,684877.269623977,132838.390625,132837,1,0
"CP00006",502.797638913617,502.797546386719,502.797760009766,5.94740295410156,0.819552540779114,11.5358076095581,662184.9878507,662174.184053739,90578.8984375,90578,1,0
"CP00009",512.826449790478,512.826416015625,512.826477050781,2.6018590927124,0.336072236299515,13.7695293426514,2815664.87161097,2796427.26183647,423559.8125,112,1,0
"CP00011",444.838963669642,444.838745117188,444.839019775391,2.00548529624939,0.336072236299515,13.2099456787109,3468490.6962472,3468477.15579871,684371,684370,1,0
"CP00013",217.860732961654,217.860687255859,217.860778808594,2.00548529624939,0.336072236299515,4.83038330078125,113590.953632352,113585.842841593,38642.27734375,38641,1,0
"CP00014",217.860967095719,217.860610961914,217.861251831055,21.0817222595215,18.8441200256348,22.7638778686523,54682.2069820783,54678.2714651023,18649.611328125,18649,1,0
"CP00015",217.860741607998,217.860656738281,217.860855102539,6.50607490539551,4.83038330078125,9.30252361297607,74347.4098243236,74342.3440578985,18704.470703125,18703,1,0
"CP00016",217.861194462182,217.861129760742,217.861236572266,14.3282928466797,12.6519107818604,19.9630641937256,113316.408353868,113308.496479385,18736.88671875,18736,1,0
"CP00017",404.846450628061,404.846160888672,404.846496582031,2.00548529624939,0.336072236299515,15.445387840271,5329018.94563704,5319655.88320687,1291919.5,403,1,0
"CP00018",472.833891348356,472.833709716797,472.833953857422,2.00548529624939,0.336072236299515,14.8869962692261,3980745.30585306,3980730.07970376,730067.75,730067,1,0
"CP00020",326.903425004439,326.903289794922,326.903472900391,2.00548529624939,0.336072236299515,14.8869962692261,8219866.25504072,8142468.60939026,1091858.125,110,1,0
"CP00021",453.786583981681,453.786315917969,453.786682128906,2.00548529624939,0.336072236299515,10.9774723052979,1530418.09948728,1525942.63525356,304331.03125,253,1,0
"CP00022",309.90112042898,309.901062011719,309.901184082031,14.3282928466797,10.9774723052979,17.7257556915283,467919.4824547,466263.694887549,142977.328125,131,1,0
"CP00024",217.865603033318,217.86555480957,217.865646362305,13.7695293426514,7.06423807144165,16.6062889099121,992061.254099378,992051.092376972,141349.75,141349,1,0
"CP00035",140.953935511827,140.953887939453,140.954010009766,23.9387893676758,22.7638778686523,25.6280326843262,42415.0287859624,42412.7296146472,30860.796875,30860,1,0
"CP00037",212.938603296967,212.938552856445,212.938674926758,23.9387893676758,21.6443824768066,25.6280326843262,127569.591186527,127193.282586198,80944.8125,165,1,0
"CP00038",232.897729705437,232.897689819336,232.897857666016,23.9387893676758,22.2038497924805,25.6280326843262,251120.105502993,250670.905427846,163005.75,232,1,0
"CP00039",236.936485083677,236.93635559082,236.9365234375,23.9387893676758,22.2038497924805,25.6280326843262,152851.945444508,152849.082048482,93872.7890625,93872,1,0
"CP00040",252.908286219528,252.908264160156,252.908309936523,23.9387893676758,22.7638778686523,25.6280326843262,34851.564022691,34849.2648513758,19181.90234375,19181,1,0
"CP00041",270.929173601987,270.928985595703,270.929443359375,23.9387893676758,22.2038497924805,25.6280326843262,77932.9595951766,77930.0961991507,43339.37109375,43338,1,0
"CP00043",279.906357284065,279.906066894531,279.906555175781,23.9387893676758,22.7638778686523,25.6280326843262,35957.2448261013,35954.9456547861,18817.72265625,18817,1,0
"CP00044",291.911119651187,291.911071777344,291.911407470703,23.9387893676758,22.2038497924805,25.6280326843262,127110.464255516,127107.600859491,90629.671875,90629,1,0
"CP00045",293.910244566816,293.909942626953,293.910400390625,23.9387893676758,22.2038497924805,25.6280326843262,76882.5574370297,76879.6940410039,40708.2421875,40707,1,0
"CP00046",295.950386163183,295.950347900391,295.950469970703,23.9387893676758,22.2038497924805,25.6280326843262,350014.542842492,350011.679446466,252367.96875,252367,1,0
"CP00049",328.897937249362,328.897491455078,328.898590087891,23.9387893676758,22.2038497924805,25.6280326843262,29139.6941593969,29136.830763371,13529.6416015625,13529,1,0
"CP00050",354.926356656044,354.926300048828,354.926574707031,23.9387893676758,22.2038497924805,25.6280326843262,1123034.70828809,1123031.84489206,1027465.3125,1027464,1,0
"CP00053",454.851425452113,454.851257324219,454.851776123047,23.9387893676758,22.2038497924805,25.6280326843262,126648.97709356,126646.113697535,88061.7890625,88061,1,0
"CP00055",464.884480401418,464.882049560547,464.885314941406,24.4997367858887,22.7638778686523,25.6280326843262,57238.5878216189,57236.2886503036,38518.40234375,38517,1,0
"CP00056",182.966945209014,182.966659545898,182.967056274414,23.9387893676758,22.2038497924805,26.1876220703125,231882.471797103,231879.045434718,162081.484375,162080,1,0
"CP00057",239.960502916823,239.960296630859,239.960556030273,23.9387893676758,22.2038497924805,26.1876220703125,276979.579841301,276976.153478916,193885.859375,193885,1,0
"CP00059",298.93639048774,298.936157226562,298.936584472656,23.9387893676758,22.2038497924805,26.1876220703125,1085697.60420217,1085694.17783978,929133.6875,929133,1,0
